	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
197	24508883	4901776600	24508883	200	2554	394	42575	9606	0.805972584	41	100	100	9.090909091	24.508883	24311349	197534	1	0.25	1	1	0.5	0.5	1	1	1	1	710
198	22062764	4412552800	22062764	200	2598	394	42569	9606	1.107863533	41	100	100	9.090909091	22.062764	21818339	244425	1	0.25	1	1	0.5	1	1	1	1	1	635
199	20109230	4021846000	20109230	200	2547	387	42575	9606	1.266520129	41	100	100	18.18181818	20.10923	19854543	254687	0.25	0.25	1	1	0.5	1	1	1	1	1	613
200	22391122	4478224400	22391122	200	2485	398	38447	9606	1.132660225	41	100	100	9.090909091	22.391122	22137507	253615	0.5	0.25	1	1	0.5	0.5	1	1	1	1	701
201	23144546	4628909200	23144546	200	2401	395	42559	9606	1.757141535	43	100	100	9.090909091	23.144546	22737864	406682	1	1	1	1	0.25	1	1	1	1	1	641
202	24768960	4953792000	24768960	200	2450	425	42571	9606	1.664252889	42	100	100	0	24.76896	24356742	412218	1	1	1	1	0.5	1	1	1	1	1	673
203	21229531	4585578696	21229531	216	3085	450	42573	9606	6.903174511	40	108	108	0	21.229531	19764020	1465511	0.5	1	1	1	0.5	1	1	1	0.5	1	550
204	24526439	4905287800	24526439	200	2431	426	42571	9606	1.714869388	42	100	100	0	24.526439	24105843	420596	1	1	1	1	0.5	1	1	1	1	1	683
205	21707438	4341487600	21707438	200	2455	429	42571	9606	1.510986001	42	100	100	9.090909091	21.707438	21379442	327996	1	0.25	1	1	0.5	1	1	1	1	1	636
206	20714094	4142818800	20714094	200	2440	394	42569	9606	0.871753974	41	100	100	9.090909091	20.714094	20533519	180575	1	0.25	1	1	0.5	0.5	1	1	1	1	628
207	23447495	5064658920	23447495	216	3023	450	38449	9606	9.188074786	44	108	108	18.18181818	23.447495	21293122	2154373	0.25	0.25	1	1	0.5	1	1	1	1	1	858
208	22768913	4918085208	22768913	216	2981	450	41223	9606	10.08070076	41	108	108	0	22.768913	20473648	2295265	1	1	1	1	0.5	1	1	1	0.5	1	706
209	22223034	4444606800	22223034	200	2281	395	42559	9606	1.499997687	42	100	100	0	22.223034	21889690	333344	1	1	1	1	0.5	1	1	1	1	1	634
210	21433914	4629725424	21433914	216	3131	450	38449	9606	8.152025086	40	108	108	9.090909091	21.433914	19686616	1747298	0.5	0.25	1	1	0.5	1	1	1	1	1	678
211	22673193	4897409688	22673193	216	2897	450	38449	9606	9.385844465	43	108	108	9.090909091	22.673193	20545123	2128070	0.25	1	1	1	0.5	1	1	1	1	1	789
212	22658420	4894218720	22658420	216	3106	450	38449	9606	8.363777011	42	108	108	18.18181818	22.65842	20763321	1895099	1	0.25	1	1	0.5	1	1	1	0.25	1	755
213	18899568	3779913600	18899568	200	2394	396	38447	9606	1.746116453	41	100	100	18.18181818	18.899568	18569560	330008	0.25	0.25	1	1	0.5	1	1	1	0.5	1	575
214	18249533	3649906600	18249533	200	2334	420	42557	9606	1.262210896	42	100	100	9.090909091	18.249533	18019186	230347	0.25	0.5	1	1	0.5	1	1	1	1	1	591
215	20831796	4166359200	20831796	200	2317	395	38447	9606	1.365396551	42	100	100	9.090909091	20.831796	20547360	284436	0.5	0.25	1	1	0.5	0.5	1	1	1	1	681
216	19595998	3919199600	19595998	200	2247	397	38447	9606	1.680265506	41	100	100	18.18181818	19.595998	19266734	329264	0.25	0.25	1	1	0.5	1	1	1	1	1	539
217	18061170	3612234000	18061170	200	2274	387	42575	9606	1.28512457	40	100	100	18.18181818	18.06117	17829062	232108	0.25	0.25	1	1	0.5	1	1	1	1	1	570
218	21253171	4590684936	21253171	216	3076	450	41139	9606	8.561020623	37	108	108	9.090909091	21.253171	19433683	1819488	1	0.25	1	1	1	1	1	1	1	1	635
219	20301937	4060387400	20301937	200	2150	420	42559	9606	1.185155622	42	100	100	0	20.301937	20061328	240609	1	1	1	1	0.5	1	1	1	1	1	599
220	17147321	3429464200	17147321	200	2169	420	42557	9606	1.284666514	42	100	100	9.090909091	17.147321	16927036	220285	0.25	0.5	1	1	0.5	1	1	1	1	1	540
221	20872518	4174503600	20872518	200	2010	423	42557	9606	1.439679804	42	100	100	0	20.872518	20572021	300497	1	0.5	1	1	0.5	1	1	1	1	1	623
222	20102204	4020440800	20102204	200	2133	397	42569	9606	1.138327239	41	100	100	9.090909091	20.102204	19873376	228828	0.5	0.25	1	1	0.5	0.5	1	1	0.5	1	642
223	19609345	3921869000	19609345	200	2073	445	42557	9606	1.189609519	43	100	100	0	19.609345	19376071	233274	1	1	1	1	0.5	1	1	1	1	1	612
